数据期,行业代码,门类代码,门类内容,大类代码,大类内容,中类代码,中类内容,小类代码,小类内容,经度,维度,注册资本(人民币元),企业经营日期,企业登记设立日期,企业缴纳社保人员数
2015,H6110,H,住宿和餐饮业,61,住宿业,611,旅游饭店,6110,旅游饭店,113.878985,22.594767,10000000,2014/2/1,2014/1/10,398
2015,F5165,F,批发和零售业,51,批发业,516,矿产品、建材及化工产品批发,5165,建材批发,113.812396,22.723880,500000,2014/12/1,2014/4/18,15
2015,G5413,G,交通运输、仓储和邮政业,54,道路运输业,541,城市公共交通运输,5413,出租车客运,113.89166,22.545987,12800000,1992/8/1,1983/11/22,23
2015,K7010,K,房地产业,70,房地产业,701,房地产开发经营,7010,房地产开发经营,113.826767,22.644514,100000000,1992/8/1,1989/9/7,109
2015,F5243,F,批发和零售业,52,零售业,524,文化、体育用品及器材专门零售,5243,图书、报刊零售,,,2100000,1993/1/1,1982/12/31,83
2015,F5162,F,批发和零售业,51,批发业,516,矿产品、建材及化工产品批发,5162,石油及制品批发,113.814829,22.633092,123000000,2009/10/1,1990/11/3,227
2015,G5429,G,交通运输、仓储和邮政业,54,道路运输业,542,公路旅客运输,5429,其他公路客运,113.892113,22.545135,10000000,2003/11/1,1992/10/16,14
2015,H6210,H,住宿和餐饮业,62,餐饮业,621,正餐服务,6210,正餐服务,113.826942,22.637009,14000000,1994/9/1,1992/12/15,434
2015,F5165,F,批发和零售业,51,批发业,516,矿产品、建材及化工产品批发,5165,建材批发,113.886475,22.604134,810000,2001/5/1,1992/12/31,31
2015,F5151,F,批发和零售业,51,批发业,515,医药及医疗器材批发,5151,西药批发,113.926511,22.580036,50000000,2000/6/1,1993/5/17,174
2015,E4920,E,建筑业,49,建筑安装业,492,管道和设备安装,4920,管道和设备安装,113.893657,22.560935,10000000,2002/1/1,1994/4/26,72
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.866135,22.606408,50000000,1993/1/1,1990/4/15,76
2015,C3467,C,制造业,34,通用设备制造业,346,烘炉、风机、包装等设备制造,3467,包装专用设备制造,113.886406,22.816285,30000000,1998/10/1,1994/9/22,178
2015,G5429,G,交通运输、仓储和邮政业,54,道路运输业,542,公路旅客运输,5429,其他公路客运,113.899168,22.563713,10000000,1993/1/1,1994/11/15,735
2015,K7010,K,房地产业,70,房地产业,701,房地产开发经营,7010,房地产开发经营,113.880136,22.583069,80000000,2006/3/1,1994/11/27,125
2015,G5443,G,交通运输、仓储和邮政业,54,道路运输业,544,道路运输辅助活动,5443,公路管理与养护,113.902498,22.560229,10000000,1998/8/1,1994/12/29,91
2015,E5012,E,建筑业,50,建筑装饰、装修和其他建筑业,501,建筑装饰和装修业,5012,住宅装饰和装修,113.907225,22.566269,10000000,2004/9/1,1995/5/15,27
2015,K7010,K,房地产业,70,房地产业,701,房地产开发经营,7010,房地产开发经营,113.900986,22.56333,6000000,1997/7/1,1995/6/16,43
2015,E4790,E,建筑业,47,房屋建筑业,479,其他房屋建筑业,4790,其他房屋建筑业,113.892992,22.581326,103330000,2006/7/1,1995/6/19,905
2015,F5261,F,批发和零售业,52,零售业,526,汽车、摩托车、零配件和燃料及其他动力销售,5261,汽车新车零售,113.826922,22.657653,30000000,2002/7/1,1995/7/3,78
